Scan,Quality,Angle,Distance
2,15,273.140625,700.75
2,15,274.5,708.75
2,15,275.71875,718.0
2,15,277.109375,727.5
2,15,278.546875,735.5
2,15,279.828125,744.5
2,15,281.265625,754.5
2,15,282.609375,765.5
2,15,283.859375,778.25
2,15,285.25,792.25
2,15,286.6875,806.0
2,15,287.984375,821.0
2,15,289.265625,838.5
2,15,290.703125,860.0
2,15,296.796875,1615.5
2,15,298.125,1657.5
2,15,299.640625,1703.25
2,15,300.953125,1755.75
2,15,302.328125,1811.5
2,15,303.734375,1867.75
2,15,314.640625,2424.0
2,15,316.03125,2425.25
2,15,317.421875,2392.75
2,15,318.84375,2364.0
2,15,320.21875,2343.0
2,15,321.609375,2319.75
2,11,336.703125,4487.0
2,9,338.09375,4468.0
2,15,339.484375,4445.75
2,15,340.859375,4438.5
2,15,342.25,4452.75
2,15,343.65625,4465.5
2,8,345.046875,4493.25
3,15,107.578125,1642.5
3,15,111.859375,1494.0
3,15,113.296875,1453.0
3,15,114.625,1428.0
3,15,115.984375,1435.75
3,15,121.453125,1583.25
3,15,133.734375,2129.0
3,15,135.140625,2116.0
3,15,136.5,2095.25
3,15,137.921875,2073.25
3,15,139.28125,2055.0
3,15,140.71875,2031.5
3,15,142.078125,2006.75
3,15,143.5,1991.0
3,15,144.890625,1981.0
3,15,146.28125,1969.5
3,15,147.640625,1959.0
3,15,149.078125,1949.0
3,15,150.40625,1939.0
3,15,151.828125,1933.25
3,15,153.25,1929.5
3,15,154.625,1922.25
3,15,156.015625,1913.75
3,15,157.421875,1912.75
3,15,158.84375,1911.75
3,15,160.1875,1910.5
3,15,161.625,1909.25
3,15,163.015625,1911.0
3,15,168.171875,3703.5
3,15,175.1875,3388.5
3,15,197.796875,1855.5
3,15,202.046875,1680.5
3,15,203.40625,1638.0
3,15,204.828125,1595.0
3,15,206.28125,1557.25
3,15,207.671875,1520.0
3,15,209.109375,1486.0
3,15,210.515625,1455.0
3,15,211.859375,1424.5
3,15,213.328125,1399.25
3,15,214.703125,1376.75
3,15,216.15625,1352.0
3,15,217.5,1329.75
3,15,218.9375,1309.25
3,15,220.390625,1288.25
3,15,223.90625,767.0
3,15,228.21875,733.5
3,15,229.625,722.25
3,15,230.9375,714.0
3,15,232.3125,705.75
3,15,233.890625,698.25
3,15,235.234375,692.25
3,15,236.578125,686.75
3,15,237.90625,683.0
3,15,239.328125,679.75
3,15,240.859375,675.0
3,15,242.3125,669.5
3,15,243.703125,665.0
3,15,245.109375,662.25
3,15,246.5,658.75
3,15,247.8125,656.5
3,15,249.265625,655.5
3,15,250.609375,654.5
3,15,251.96875,653.5
3,15,253.328125,653.5
3,15,254.75,654.25
3,15,256.21875,654.75
3,15,257.5625,655.5
3,15,258.9375,657.0
3,15,260.375,659.0
3,15,261.8125,661.75
3,15,263.0625,665.0
3,15,264.421875,668.25
3,15,265.890625,672.5
3,15,267.3125,678.75
3,15,268.59375,684.25
3,15,270.0,688.0
3,15,271.421875,692.5
3,15,272.671875,700.0
3,15,274.0,708.0
3,15,275.515625,716.0
3,15,276.765625,723.75
3,15,278.15625,731.75
3,15,279.5,741.75
3,15,280.84375,751.75
3,15,282.1875,762.25
3,15,283.578125,774.75
3,15,284.890625,788.25
3,15,286.21875,801.0
3,15,287.640625,815.25
3,15,289.0,832.75
3,15,293.671875,1534.25
3,15,295.03125,1566.0
3,15,296.390625,1606.25
3,15,297.78125,1648.0
3,15,299.234375,1690.25
3,15,300.5625,1740.0
3,15,303.296875,1853.25
3,15,315.609375,2392.75
3,15,316.984375,2405.5
3,15,318.40625,2373.0
3,15,319.796875,2347.5
3,15,321.203125,2325.25
3,15,339.03125,4450.5
3,15,340.453125,4428.0
3,15,341.828125,4429.0
3,13,343.203125,4452.75
3,9,344.59375,4480.25
4,15,112.78125,1467.5
4,15,114.140625,1430.25
4,15,115.5625,1426.0
4,15,121.0,1569.75
4,15,122.359375,1615.25
4,15,133.234375,2112.75
4,15,134.65625,2121.75
4,15,136.0625,2098.75
4,15,137.4375,2079.25
4,15,138.828125,2058.5
4,15,140.234375,2033.25
4,15,141.609375,2012.25
4,15,143.015625,1995.0
4,15,144.40625,1984.0
4,15,145.78125,1973.25
4,15,147.15625,1959.25
4,15,148.578125,1950.75
4,15,149.984375,1945.0
4,15,151.359375,1938.5
